GENESYMBOL	TNFa	JAK-STAT	PI3K_only	Wnt	VEGF	MAPK_only	TGFB	IL-1	MAPK_PI3K	TLR	H2O2	CellCycle	
ABCA1	0	0	0	0	0	0	1.9129791	0	0	0	0	0	
ACAT1	0	0	0	0	0	14.410539	0	0	0	0	0	0	
ACOT7	0	0	0	0	0	7.2443733	0	0	0	0	0	0	
ACSL1	0	0	0	0	0	2.8279188	0	0	0	0	0	0	
ACSL3	8.238532	0	0	0	0	0	0	0	0	0	0	0	
ACTB	0	-2.9887936	0	0	0	0	0	0	0	0	0	0	
ACTR2	0	0	0	3.187694	0	0	0	0	0	0	0	0	
ADAM22	0	0	0	0	0	-3.114287	0	0	0	0	0	0	
ADAM9	0	0	0	0	0	12.029224	0	0	0	0	0	0	
ADAMTS1	7.942996	0	0	0	7.739577	0	6.6633534	8.597107	0	0	0	0	
ADH4	0	0	0	0	0	-3.349639	0	0	0	0	0	0	
ADM	0	0	0	0	0	2.327402	0.65934134	0	0	0	0	0	
ADORA2A	0	0	0	0	0	0	0	0	0	-1.0688444	0	0	
ADRB2	0	0	0	0	0	0	0	0	0	-3.1334577	0	0	
ADRM1	0	0	0	0	0	2.3919513	0	0	0	0	0	0	
AEBP1	0	0	0	0	0	1.3567766	0	0	0	0	0	0	
AFF4	0	0	0	0	0	10.678135	0	0	0	0	0	0	
AGTR1	-1.5026509	0	0	0	0	0	0	0	0	0	0	0	
AIMP1	0	0	0	0	0	7.525912	0	0	0	0	0	0	
AK3	0	0	0	0	0	5.9477057	0	0	0	0	0	0	
AKAP1	0	0	0	0	0	0.98701644	0	0	0	0	0	0	
AKR1B10	0	0	0	0	0	-1.9652351	0	0	0	0	0	0	
AKR1C2	0	0	0	0	0	0	0	10.316331	0	0	0	0	
AKT1	0	0	0	0	0	0	0	0	0	0	0	1.4948591	
ALAS1	0.72325104	0	0	0	0	0	0	0	0	0	0	0	
ALDH1A2	0	0	0	0	0	-3.015213	0	0	0	0	0	0	
ALDH1A3	0	0	0	0	0	-2.8423834	0	0	0	0	0	0	
ALDH3A1	0	0	0	0	0	-2.050426	0	0	0	0	0	0	
ALDH3B1	0	0	0	-1.5160608	0	0	0	0	0	0	0	0	
ALG13	0	0	0	0	0	11.753416	0	0	0	0	0	0	
AMIGO2	0	0	0	0	0	0	0	0	3.2309654	0	0	0	
AMPD3	-1.6536915	0	0	0	0	0	0	0	0	0	0	0	
ANGPTL4	0	0	0	0	2.8309827	0	0.912419	0	0	0	0	0	
ANKRD36B	0	0	0	0	0	0	0	0	10.101314	0	0	0	
AP1G2	0	0	0	0	0	-1.1306387	0	0	0	0	0	0	
AP3D1	0	0	0	0	0	4.7787404	0	0	0	0	0	0	
APBB2	0	0	0	0	0	9.5046625	0	0	0	0	0	0	
APC	0	0	0	0	0	0	0	0	0	0	0	0.476772	
APOL3	0	0	0	0	0	0	0	-1.7286094	0	0	0	0	
APOLD1	0	0	0	0	-1.1394122	0	0	0	0	0	0	0	
AQP3	0	0	0	0	0	-2.990471	0	0	0	0	0	0	
ARF1	0	7.9879375	12.070238	0	0	0	0	0	10.718661	0	0	0	
ARF5	0	0	0	0	0	10.274252	0	0	0	0	0	0	
ARFGAP1	0	0	0	0	0	1.5821031	0	0	0	0	0	0	
ARFGAP2	0	0	0	0	0	9.301769	0	0	0	0	0	0	
ARHGDIA	0	0	8.94336	0	0	5.7473283	5.507361	0	0	0	0	0	
ARID1A	0	0	0	0	0	5.20491	0	0	0	0	0	0	
ARID2	0	0	0	0	0	10.766924	0	0	0	0	0	0	
ARL4C	0	0	0	0	0	-1.2361456	1.9059966	0	0	1.7750614	0	0	
ARL5B	0	0	0	0	0	0	0	0	0	-0.19595468	0	0	
ARL6IP6	0	0	0	0	0	2.8794162	0	0	0	0	0	0	
ARMCX3	0	0	0	0	0	3.4003327	0	0	0	0	0	0	
ARRDC3	0	0	15.645977	0	0	16.32845	0	0	0	0	0	0	
ARRDC4	0	0	0	0	0	-0.0595087	0	0	0	0	0	0	
ASPH	0	0	0	0	0	13.196868	0	0	0	0	0	0	
ASS1	0	0	0	0	0	11.487865	0	0	0	0	0	0	
ATAD2	0	0	0	0	0	0.0950066	0	0	0	0	0	0	
ATAD3B	0	0	0	0	0	-3.2577248	0	0	0	0	0	0	
ATF1	0	0	0	0	0	4.957692	0	0	0	0	0	0	
ATF3	1.5668497	0	0	-1.3423091	1.6531986	0	0	0.73521805	0.54655886	0.22134572	0.45003736	0	
ATM	0	0	0	0	0	0	0	0	0	0	0	3.3405638	
ATP13A3	6.098971	0	0	0	0	7.942162	0	0	0	0	0	0	
ATP1A3	0	0	-1.3836021	0	0	0	0	0	0	0	0	0	
ATP1B1	0	0	0	0	0	0	6.2125764	0	0	0	0	0	
ATP2A3	0	0	0	0	0	-3.0732172	0	0	0	0	0	0	
ATP2B1	-2.9040945	0	0	0	0	6.3049445	0	0	0	0	0	0	
ATP6V0E1	0	0	0	0	0	0	0	0	0	0	8.788191	0	
ATP6V1H	0	0	0	0	0	3.963416	0	0	0	0	0	0	
ATP9A	0	0	0	0	0	-0.10203719	0	0	0	0	0	0	
ATR	0	0	0	0	0	4.5003414	0	0	0	0	0	5.991299	
ATRX	0	0	0	0	0	0	0	0	0	0	7.5583615	0	
AURKAIP1	0	0	0	0	0	9.330675	0	0	0	0	0	0	
AVIL	0	0	0	0	0	-3.867106	0	0	0	0	0	0	
AVL9	0	0	0	0	0	1.829578	0	0	0	0	0	0	
B3GNT2	0	0	0	0	0	-1.9239972	0	0	0	0	0	0	
B4GALT4	0	0	0	0	0	1.2093345	0	0	0	0	0	0	
BAALC	0	0	0	0	0	0	0	0	0	0	-1.0023923	0	
BAMBI	0	0	0	0	0	0	-2.1130726	0	0	0	0	0	
BAZ2A	0	0	0	0	0	2.6645546	0	0	0	0	0	0	
BBC3	0	0	0	0	0	-2.615837	0	0	0	0	0	0	
BCAM	0	0	0	0	0	-1.7228637	0	0	0	0	0	0	
BCL10	0	0	0	0	0	0	0	0	14.105739	0	0	0	
BCL2	0	0	0	0	0	-3.1542692	0	0	0	0	0	0	
BCL2A1	0	-1.9008346	0	0	0	0	0	-1.9467779	0	0	0	0	
BCL3	-0.29957622	0	0	0	0	0	0	-0.43518892	0	0	0	0	
BCL6	0	2.945813	0	0	0	0	0	0	0	0	5.4510303	0	
BCOR	-2.4724336	0	0	0	0	0	-1.5350503	0	0	0	0	0	
BDKRB1	1.9645001	0	0	0	0	0	0	0	0	0	0	0	
BDKRB2	2.6984253	0	0	0	0	0	0.2552936	0	0	0	0	0	
BGLAP	0	0	0	0	0	-1.794827	0	0	0	0	0	0	
BHLHE40	5.535655	0	4.7860937	0	7.821409	0	9.799574	4.4648433	6.457544	0	0	0	
BHLHE41	-1.8662646	0	0	0	0	0	0	0	0	0	0	0	
BID	-1.3110018	0	0	0	0	0	0	0	0	0	0	0	
BIRC3	-2.9583442	0	0	0	0	0	0	-2.5794177	0	-2.3196929	0	0	
BLOC1S2	0	0	0	0	0	0	12.098245	0	0	0	0	0	
BLVRA	0	0	0	0	0	11.163954	0	0	0	0	0	0	
BMP2	-2.279746	0	0	0	0	0	-2.677758	-2.2939718	0	0	0	0	
BRE	0	0	0	0	0	0	0	0	0	6.0703635	0	0	
BRWD1	0	0	0	0	0	6.3812723	0	0	0	0	0	0	
BSG	0	-0.4741991	0	0	0	0	0	0	0	0	0	0	
BST2	0	0	0	0	0	-3.0333114	0	0	0	0	0	0	
BTBD2	0	0	-0.710259	0	0	0	0	0	0	0	0	0	
BTG1	0	7.008824	0	0	0	0	0	0	0	0	0	0	
BTG2	-2.916739	0	0	0	0	0	2.9432223	-5.53993	0	0	0	0	
C10orf10	1.2107079	0	0	0	2.1251493	0	0.98493767	0	0	0	0	0	
C12orf76	0	0	0	0	0	3.5613306	0	0	0	0	0	0	
C15orf48	-1.7659513	0	0	0	0	0	0	0	0	0	0	0	
C16orf58	0	0	0	0	0	1.2653124	0	0	0	0	0	0	
C7orf26	0	0	0	0	0	-1.8892158	0	0	0	0	0	0	
CA12	0	0	0	0	0	-0.7888757	0	0	0	0	0	0	
CACNG4	0	0	0	0	0	-3.3511488	0	0	0	0	0	0	
CALHM2	0	0	0	0	0	0	0	0	0	3.4597378	0	0	
CAPZB	0	0	0	0	0	13.091208	0	0	0	0	0	0	
CAV2	0	0	0	0	0	4.0103993	0	0	0	0	0	0	
CBFA2T2	0	0	0	0	0	0.8828337	0	0	0	0	0	0	
CBR3	-1.5562346	0	0	0	0	-2.7014	0	0	0	0	0	0	
CBX3	0	0	0	0	0	0	0	0	0	0	0	9.924009	
CCDC126	0	0	0	0	0	1.1596748	0	0	0	0	0	0	
CCL2	-1.3541746	-2.103196	0	0	0	0	0	-2.1303363	0	-1.778725	0	0	
CCL20	0	0	0	0	0	0	0	-0.3126022	0	0.19832337	0	0	
CCL7	-1.7121763	-1.9881214	0	0	0	0	0	0	0	0	0	0	
CCNA2	0	0	0	0	0	0	0	0	0	0	0	11.753665	
CCNB1IP1	0	0	0	0	0	7.8978477	0	0	0	0	0	0	
CCNC	0	0	0	0	0	0	0	0	0	0	0	10.547159	
CCND1	0	0	6.9659452	0	0	5.3704624	0	0	0	0	0	5.058075	
CCNE1	0	0	0	0	0	-2.7188437	0	0	0	0	0	0.2775534	
CCNG2	0	0	0	0	0	6.737757	0	0	3.3042278	0	0	0	
CCNH	0	0	0	0	0	0	0	0	0	0	0	7.5181065	
CCNL1	13.301105	0	0	0	0	0	0	14.02608	0	0	0	0	
CCNT1	0	0	0	0	0	6.28539	0	0	0	0	0	0	
CCR7	0	0	0	0	0	0	0	0	0	-1.5756369	0	0	
CD274	0	0	0	0	0	0	0	0	0	-1.1006147	0	0	
CD2BP2	0	0	0	0	0	3.9420671	0	0	0	0	0	0	
CD55	0	0	0	0	0.22168909	0	0	0	0	0	0	0	
CD58	0	0	0	0	0	10.089001	0	0	0	0	0	0	
CD83	-2.3483965	0	0	0	0	0	0	-2.3495278	0	0	0	0	
CDC14A	0	0	0	0	0	0	0	0	0	0	0	-0.3579043	
CDC20	0	0	0	19.679129	0	0	0	0	0	0	0	18.51543	
CDC25C	0	0	0	0	0	0	0	0	0	0	0	8.386204	
CDC37	0	0	0	0	0	0	0	0	0	0	0	0.75798875	
CDC42	0	0	0	0	0	0	0	0	8.016138	0	0	0	
CDC42EP3	0	0	0	0	0	0	8.043806	0	0	0	0	0	
CDH11	0	0	0	0	0	12.027471	0	0	0	0	0	0	
CDK2	0	0	0	0	0	0	0	0	0	0	0	7.8358097	
CDK3	0	0	0	0	0	0	0	0	0	0	0	-1.5900161	
CDK4	0	0	0	0	0	0	0	0	0	0	0	12.536467	
CDK6	0	0	0	0	0	10.127414	0	0	0	0	0	4.1694894	
CDK7	0	0	0	0	0	0	0	0	0	0	0	11.129657	
CDKN1A	0	1.3695319	0	0	0	0	0	0	0	0	0	0.65212303	
CDKN1B	0	0	0	0	0	0	0	0	0	0	0	-1.6873275	
CDKN2A	0	0	0	0	0	0	0	0	0	0	0	-0.370081	
CDKN2B	2.2775118	0	0	0	0	0	0	0	0	0	0	-1.0126935	
CDKN2C	0	0	0	0	0	0	0	0	0	0	0	3.2139678	
CDKN2D	0	0	0	0	0	0	0	0	0	0	0	0.26785666	
CDT1	0	0	0	0	0	-2.4026954	0	0	0	0	0	0	
CDV3	0	0	0	0	0	0	0	-3.0169723	0	0	0	0	
CEACAM5	0	0	0	0	0	-3.375787	0	0	0	0	0	0	
CEBPD	5.8751717	6.0398746	0	0	0	0	3.0869203	5.3619046	0	0	0	0	
CELSR2	0	0	0	0	0	-2.9325037	0	0	0	0	0	0	
CEP76	0	0	0	0	0	-1.1466657	0	0	0	0	0	0	
CES3	0	0	0	0	0	-3.3732	0	0	0	0	0	0	
CFDP1	0	0	0	0	0	11.912688	0	0	0	0	0	0	
CFLAR	5.3430543	0	0	0	5.8276997	0	0	4.058791	0	4.62546	0	0	
CHEK1	0	0	0	0	0	0	0	0	0	0	0	14.079085	
CHEK2	0	0	0	0	0	0	0	0	0	0	0	4.0283413	
CHERP	0	0	0	0	0	-1.6733776	0	0	0	0	0	0	
CHRNB2	0	0	0	0	0	-3.3656573	0	0	0	0	0	0	
CHST15	-3.8319485	0	0	0	0	0	0	0	0	0	0	0	
CHST2	-1.9935153	0	0	0	0	0	0	0	0	0	0	0	
CHST3	0	0	0	0	0	2.316664	0	0	0	0	0	0	
CIB2	0	0	0	0	0	-3.0870667	0	0	0	0	0	0	
CISH	0	-1.7139884	0	0	0	0	0	0	0	0	0	0	
CITED2	0	0	0	0	0	0	3.5551183	0	0	0	0	0	
CITED4	0	0	0	0	0	-3.0143802	0	0	0	0	0	0	
CLIC4	0	0	0	0	0	0	0	0	5.226606	0	0	0	
CLMN	0	0	0	0	0	-2.9226847	0	0	0	0	0	0	
CLN3	0	0	0	0	0	2.4568975	0	0	0	0	0	0	
CNN1	0	0	0	0	0	-3.0517344	0	0	0	0	0	0	
COG4	0	0	0	0	0	2.278546	0	0	0	0	0	0	
COL1A2	15.747384	0	0	0	0	0	0	0	0	0	0	0	
COL3A1	10.057583	0	0	0	0	0	0	0	0	0	0	0	
COL5A2	0	0	0	0	0	11.406389	0	0	0	0	0	0	
COMP	0	0	0	0	0	0	-1.6262978	0	0	0	0	0	
COPE	0	8.037595	0	0	0	0	0	0	0	0	0	0	
COX15	0	0	0	0	0	8.867826	0	0	0	0	0	0	
